ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2013-02-05 23:22:18+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],258936,US,71.56.209.168,Single Ladies (Put a Ring on It) - Live,Beyoncé,I Am...World Tour,spotify:track:0656Ba4hb119dMJkx7zJ3N,,,,popup,clickside,FALSE,TRUE,FALSE,,FALSE
2013-02-05 23:30:51+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],239960,US,71.56.209.168,Deja Vu (feat. Jay-Z),Beyoncé,B'Day,spotify:track:2MAyGB3UgAbbT1Fjc7b7aA,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-02-05 23:34:34+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],222600,US,71.56.209.168,Hip Hop Star (feat. Big Boi & Sleepy Brown),Beyoncé,Dangerously In Love,spotify:track:5cl6rJmigUbx6cNrA3nV8z,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-02-05 23:44:35+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],325573,US,71.56.209.168,Soldier (feat. T.I. & Lil' Wayne),Destiny's Child,Destiny Fulfilled,spotify:track:4FTOpNYcGxnQdGNWSxIcio,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-02-05 23:49:36+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],256026,US,71.56.209.168,"Bills, Bills, Bills",Destiny's Child,The Writing's On The Wall,spotify:track:1Oi2zpmL81Q0yScF1zxaC0,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-02-06 00:01:18+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],217946,US,71.56.209.168,Listen - from the motion picture Dreamgirls,Beyoncé,B'Day,spotify:track:1q6tVwU90PoRpPDD7hABBD,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-02-06 00:05:33+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],254040,US,71.56.209.168,Survivor,Destiny's Child,Survivor,spotify:track:5sN8MGWR2pu2Rn3oAOPYXt,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-02-06 00:23:55+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],272706,US,71.56.209.168,Upgrade U (feat. Jay-Z),Beyoncé,B'Day,spotify:track:6V1nOgkrGmr6Wx1x4RQ6Bc,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-02-06 00:48:52+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],245400,US,71.56.209.168,Cater 2 U,Destiny's Child,Destiny Fulfilled,spotify:track:6uYAPqxP69zfpCbsTHXgiz,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-02-06 02:25:39+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],212440,US,71.56.209.168,Bug a Boo (H-Town Screwed Mix),Destiny's Child,The Writing's On The Wall,spotify:track:3iZizHVmWHdaJbvcU65S6x,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-02-06 02:29:59+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],259866,US,71.56.209.168,Happy Face,Destiny's Child,Survivor,spotify:track:3YhMQEplRrfFcdkpazT5aq,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-02-06 02:38:31+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],276093,US,71.56.209.168,Brown Eyes,Destiny's Child,Survivor,spotify:track:1urmwhtXPiakhcqvqUi3rp,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-02-06 02:53:36+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],244826,US,71.56.209.168,Baby Boy (feat. Sean Paul),Beyoncé,Dangerously In Love,spotify:track:4WY3HyGXsWqjFRCVD6gnTe,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-02-06 23:17:00+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],267573,US,71.56.209.168,At The End Of The Day,Hugh Jackman,Les Misérables: Highlights From The Motion Picture Soundtrack,spotify:track:5DJou4fNp7WCrQCCmevCAR,,,,popup,trackdone,FALSE,FALSE,FALSE,,FALSE
2013-02-06 23:21:50+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],3668,US,71.56.209.168,The Confrontation,Hugh Jackman,Les Misérables: Highlights From The Motion Picture Soundtrack,spotify:track:53KVh1nSzabDyD6xKSPFfi,,,,trackdone,popup,FALSE,TRUE,FALSE,,FALSE
2013-02-06 23:25:02+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],192626,US,71.56.209.168,In My Life / A Heart Full Of Love,Amanda Seyfried,Les Misérables: Highlights From The Motion Picture Soundtrack,spotify:track:1jV7MxxQ5Mk45hmBQrAQn5,,,,popup,trackdone,FALSE,FALSE,FALSE,,FALSE
